order_id,customer_id,age,city,state,product_category,sub_category,color,price,Quantity,order_date,ship_date
583.0,145.0,48,Los Angeles,California,outerwear,hoodie,Blue,45.99,1,1/20/2025,1/26/2025
269.0,197.0,23,Young America,Minnesota,clothing,shorts,Black,23.99,5,4/14/2025,4/18/2025
962.0,906.0,36,Minneapolis,Minnesota,outerwear,hoodie,White,45.99,3,12/9/2025,12/16/2025
106.0,754.0,32,Fresno,California,accessories,hat,Black,15.99,1,1/16/2025,1/23/2025
902.0,31.0,39,Moreno Valley,California,clothing,socks,Black,11.99,2,12/7/2025,12/11/2025
95.0,147.0,37,Denver,Colorado,accessories,hat,Navy,15.99,1,1/21/2025,1/27/2025
161.0,705.0,39,Richmond,California,clothing,shorts,Gray,23.99,1,11/1/2025,11/4/2025
17.0,579.0,36,Boulder,Colorado,outerwear,hoodie,Black,45.99,2,3/13/2025,3/18/2025
879.0,504.0,25,Grand Rapids,Michigan,clothing,t-shirt,Navy,17.99,1,11/24/2025,12/1/2025
509.0,17.0,31,Saint Paul,Minnesota,clothing,shirt,Black,25.99,1,2/10/2025,2/12/2025
572.0,151.0,42,North Hollywood,California,outerwear,hoodie,Black,45.99,1,2/2/2025,2/9/2025
722.0,96.0,19,San Jose,California,outerwear,hoodie,Black,45.99,1,8/28/2025,8/30/2025
376.0,853.0,37,Portland,Oregon,outerwear,jacket,Navy,59.99,2,6/19/2025,6/21/2025
427.0,521.0,35,Los Angeles,California,outerwear,hoodie,Beige,45.99,1,7/24/2025,7/26/2025
240.0,930.0,37,Petaluma,California,outerwear,jacket,Black,59.99,1,,
250.0,932.0,65,Sacramento,California,outerwear,hoodie,Gray,45.99,1,3/2/2025,3/7/2025
259.0,655.0,22,Lansing,Michigan,clothing,t-shirt,Navy,17.99,2,4/19/2025,4/23/2025
227.0,253.0,39,Vancouver,Washington,clothing,shirt,Navy,25.99,2,12/2/2025,12/9/2025
383.0,251.0,18,Santa Monica,California,clothing,sweater,Navy,33.99,3,7/11/2025,7/14/2025
590.0,912.0,18,Ventura,California,clothing,socks,White,11.99,2,9/17/2025,9/20/2025
856.0,981.0,63,Riverside,California,outerwear,hoodie,Black,45.99,5,8/23/2025,8/27/2025
